language,source,target,p_lag,dmax,lead_days,ty_pvalue,pearson_r,abs_r
English,14,37,7,1,1,8.893751275579012e-10,0.9089443413672048,0.9089443413672048
English,32,23,7,2,1,8.978981774459246e-10,0.8275571217341,0.8275571217341
English,38,37,4,1,1,9.3702757085806e-10,0.8868846550625135,0.8868846550625135
English,6,12,4,1,1,9.370291853823556e-10,0.9169219490233228,0.9169219490233228
English,32,8,7,2,2,9.940473494731843e-10,0.8216006875981275,0.8216006875981275
English,25,36,7,2,2,1.002702459765429e-09,0.8694147286816679,0.8694147286816679
English,2,17,6,1,1,1.0122062601809295e-09,0.8916422479101744,0.8916422479101744
English,16,29,7,1,1,1.02856000920969e-09,0.8813811899559564,0.8813811899559564
English,9,31,7,1,1,1.0583237961993006e-09,0.7807915767600971,0.7807915767600971
English,42,44,6,1,1,1.0670459560603575e-09,0.8973338903678216,0.8973338903678216
English,23,9,7,1,1,1.0848461739980726e-09,0.8045585111452521,0.8045585111452521
English,19,37,7,1,1,1.0865412830694102e-09,0.9062344811619384,0.9062344811619384
English,3,40,4,1,1,1.1175108929106292e-09,0.8618151432824058,0.8618151432824058
English,38,27,4,1,1,1.1190936129652116e-09,0.8839963501651986,0.8839963501651986
English,34,41,7,1,1,1.1388791522845166e-09,0.8893538012915887,0.8893538012915887
